COD_ART;DESCRIPCION;EAN13
70-010;BIDE BL/CR LORCA;7798077385986
80-010;DUCHA EMB. C/TRANSF. BL/CR LORCA;7798077385993
81-010;DUCHA EMB. S/TRANSF. BL/CR LORCA;7798077386006
601;CANILLA COCINA MESADA CROMO DIQUE;7798077386013
603;CANILLA COC.PARED P.BAJO CROMO DIQUE;7798077386037
605;CANILLA COC.PARED P.ALTO CROMO DIQUE;7798077386051
83-010;DUCHA EXT. C/TRANSF. BL/CR LORCA;7798077386075
40-010;JUEGO LAVARROPAS BL/CR LORCA;7798077386082
51-010;COCINA MESADA BL/CR LORCA;7798077386099
53-010;COCINA PARED EXT. P.ALTO BL/CR LORCA;7798077386105
55-010;COCINA PARED EMB. P.ALTO BL/CR LORCA;7798077386112
56-010;COCINA PARED EMB. P.BAJO BL/CR LORCA;7798077386129
31-010;CANILLA DE PARED P.ALTO BL/CR LORCA;7798077386136
32-010;CANILLA DE PARED P.BAJO BL/CR LORCA;7798077386143
33-010;CANILLA MESADA BL/CR LORCA;7798077386150
90-010;PACK GRIF.BL/CR LORCA (Lavatorio-Bide-Ducha c/t);7798077386167
62-163;LAVATORIO PARED EMB. C.CERAM SENA;7798077386518
60-194;LAVATORIO CR C.CERAM LINEA LARA;7798077386549
70-194;BIDE CR C.CERAM LINEA LARA;7798077386570
80-194;DUCHA EMB. C/TRANSF. CR C.CERAM LARA;7798077386648
1350;"QUEINOX MACHO MOVIL MH 1/2"" x 50";7798077387058
80-190P;DUCHA EMB. C/TRANSF. C.CERAM BLACK VELVET PLUS;7798077387324
81-190P;DUCHA EMB. S/T. C.CERAM BLACK VELVET PLUS;7798077387331
90-057;PACK GRIF.VERIN PLUS (Lavatorio-Bide-Ducha c/t);7798077387485
60-100C;LAVATORIO CR C.CERAM FABRIC;7798077387553
655;"CANILLA MESADA CR/BL ""MEDEA""";7798077387720
60-100G;LAVATORIO GOLD C.CERAM FABRIC;7798077387744
915;"COCINA MESADA CR/BL ""MEDEA""";7798077387751
936;COCINA PARED EXT. P.ALTO CR/BL MEDEA;7798077387768
60-100N;LAVATORIO BLACK C.CERAM FABRIC;7798077387881
62-100C;LAVATORIO DE PARED CR C.CERAM FABRIC;7798077387980
62-100G;LAVATORIO DE PARED GOLD C.CERAM FABRIC;7798077388086
985;JGO PARED EXT CR P.FUNDIDO MURCIA;7798077388116
62-100N;LAVATORIO DE PARED BLACK C.CERAM FABRIC;7798077388246
70-100C;BIDE CR C.CERAM FABRIC;7798077388284
70-100G;BIDE GOLD C.CERAM FABRIC;7798077388369
70-100N;BIDE BLACK C.CERAM FABRIC;7798077388376
80-100C;DUCHA EMB. C/TRANSF. CR C.CERAM FABRIC;7798077388383
80-100G;DUCHA EMB. C/TRANSF. GOLD C.CERAM FABRIC;7798077388390
80-100N;DUCHA EMB. C/TRANSF. BLACK C.CERAM FABRIC;7798077388420
20-100G;MONOCOMANDO DE COCINA FABRIC GOLD;7798077388437
60-198;LAVATORIO CR C.CERAM PURA;7798077388499
70-198;BIDE CR C.CERAM PURA;7798077388505
80-198;DUCHA EMB. C/TRANSF. CR C.CERAM PURA;7798077388512
62-198;LAVATORIO DE PARED CR C.CERAM PURA;7798077388529
60-199;LAVATORIO CR C.CERAM LIVE;7798077388536
70-199;BIDE CR C.CERAM LIVE;7798077388543
80-199;DUCHA EMB. C/TRANSF. CR C.CERAM LIVE;7798077388550
62-199;LAVATORIO DE PARED CR C.CERAM LIVE;7798077388567
60-199B;LAVATORIO WHITE C.CERAM LIVE;7798077388574
62-199B;LAVATORIO DE PARED WHITE C.CERAM LIVE;7798077388581
60-014;LAVATORIO CR MORA STD;7798077388895
70-014;BIDE CR MORA STD;7798077388901
80-014;DUCHA EMB. C/TRANSF. CR MORA STD;7798077388918
70-199B;BIDE WHITE C.CERAM LIVE;7798077389243
933;JGO PARED C/EXT CR DIQUE;7798077389335
60-118;LAVATORIO CR C.CERAM RODA;7798077389427
943;"J.COCINA PARED EMB. CR ""DIQUE""";7798077389434
70-118;BIDE CR C.CERAM RODA;7798077389489
80-199B;DUCHA EMB. C/TRANSF. WHITE C.CERAM LIVE;7798077389502
60-199N;LAVATORIO BLACK C.CERAM LIVE;7798077389519
70-199N;BIDE BLACK C.CERAM LIVE;7798077389526
80-199N;DUCHA EMB. C/TRANSF. BLACK C.CERAM LIVE;7798077389533
62-199N;LAVATORIO DE PARED BLACK C.CERAM LIVE;7798077389540
63-190;LAVATORIO MONOC. DE PARED BLACK VELVET;7798077389557
84-190;DUCHA EXTERIOR CON COLUMNA BLACK VELVET;7798077389564
80-166T;"DUCHA DE EMB. C/TRANSF. C.CERAM ADRA FLOR DE 8""";7798077389601
83-162;DUCHA EXT. C/TRANSF. C.CERAM ADRA;7798077389694
970;MONOCOMANDO COCINA CROMO VERIN;7798077389700
60-203;LAVATORIO MONOCOMANDO BAJO ADRA;7798077389717
80-118;DUCHA EMB. C/TRANSF. CR C.CERAM RODA;7798077389786
62-118;LAVATORIO P/PARED CR C.CERAM RODA;7798077389793
60-002;LAVATORIO RENACER;7798115110013
70-002;BIDE RENACER;7798115110020
80-002;DUCHA EMB C/TRANSF. RENACER;7798115110037
81-002;DUCHA EMB. S/TRANSF. RENACER;7798115110044
83-002;DUCHA EXT C/TRANSF. RENACER;7798115110051
82-002;DUCHA EXT. S/TRANSF. RENACER;7798115110068
51-002;COCINA MESADA RENACER;7798115110082
53-002;COCINA PARED EXT. P.ALTO RENACER;7798115110105
54-002;COCINA PARED EXT. P.BAJO RENACER;7798115110112
55-002;COCINA P/PARED EMB P.ALTO RENACER;7798115110129
56-002;COCINA P/PARED EMB P.BAJO RENACER;7798115110136
31-002;"CANILLA DE PARED PICO ALTO ""RENACER""";7798115110150
32-002;"CANILLA DE PARED PICO BAJO ""RENACER""";7798115110167
33-002;"CANILLA MESADA ""RENACER""";7798115110174
55-001;"COCINA PARED EMBUTIR PICO ALTO ""CROMO Y""";7798115110297
56-001;"COCINA PARED EMBUTIR PICO BAJO ""CROMO Y""";7798115110303
40-002;COCINA P/PARED EMB P/LAVARROPA RENACER;7798115110631
60-003;"LAVATORIO ""ARUBA""";7798115110648
70-003;"BIDE ""ARUBA""";7798115110655
80-003;"DUCHA EMBUTIR C/TRANSF. ""ARUBA""";7798115110662
81-003;"DUCHA EMBUTIR S/TRANSF. ""ARUBA""";7798115110679
