COD_ART;DESCRIPCION;EAN13
70-134;BIDE CR C.CERAM BETIS;7798160583763
60-134;LAVATORIO CR C.CERAM BETIS;7798160583770
70-152;BIDE MONOCOMANDO CR C/TRANSFERENCIA SORIA;7798160583848
80-152;DUCHA EMB. CR C/TRANSF. MONOCOMANDO SORIA;7798160583855
51-042;MESADA P.CAÑO DIQUE GM;7798160583954
60-154;LAVATORIO CR C.CERAM LINEA TERUEL;7798160584012
70-154;BIDE CR C.CERAM LINEA TERUEL;7798160584029
80-154;DUCHA EMB. C/TRANSF. CR C.CERAM TERUEL;7798160584036
90-055;PACK GRIF. CR MEDEA P.CAÑO S/SOPAPA;7798160584043
20-170;COCINA MESADA MONOC. COLORS AZUL;7798160584050
60-057;LAVATORIO C.STD VERIN PLUS;7798160584098
70-057;BIDE C.STD VERIN PLUS;7798160584104
80-057;DUCHA EMB. C/TRANSF. C.STD VERIN PLUS;7798160584111
81-057;DUCHA EMB. S/TRANSF. C.STD VERIN PLUS;7798160584128
51-057;COCINA MESADA CR C.STD VERIN PLUS;7798160584135
60-058;LAVATORIO CR C.STD MALBA;7798160584142
70-058;BIDE CR C.STD MALBA;7798160584159
80-058;DUCHA EMB. C/TRANSF. CR C.STD MALBA;7798160584166
81-058;DUCHA EMB. S/TRANSF. CR STD MALBA;7798160584173
51-058;COCINA MESADA CR C.STD MALBA;7798160584180
60-059;LAVATORIO BL/CR C.STD MALBA;7798160584197
70-059;BIDE BL/CR C.STD MALBA;7798160584203
80-059;DUCHA EMB. C/TRANSF.BL/CR C.STD MALBA;7798160584210
81-059;DUCHA EMB. S/TRANSF. BL/CR C.STD MALBA;7798160584227
51-059;COCINA MESADA BL/CR C.STD MALBA;7798160584234
61-180;LAVATORIO MONOCOMANDO ALTO VERA;7798160584241
80-180;DUCHA EMB. C/TRANSF. MONOCOMANDO VERA;7798160584289
81-180;DUCHA EMB. S/TRANSF. MONOCOMANDO VERA;7798160584296
60-161;LAVATORIO CR C.CERAM LAGO;7798160584302
70-161;BIDE CR C.CERAM LAGO;7798160584319
80-161;DUCHA EMB. C/TRANSF. CR C.CERAM LAGO;7798160584326
81-161;DUCHA EMB. S/TRANSF. CR C.CERAM LAGO;7798160584333
62-161;LAVATORIO DE PARED EMB. CR C.CERAM LAGO;7798160584340
60-162;LAVATORIO CR C.CERAM LINEA ADRA;7798160584357
70-162;BIDE CR C.CERAM LINEA ADRA;7798160584364
80-162;DUCHA EMB. C/TRANSF. CR C.CERAM ADRA;7798160584371
81-162;DUCHA EMB. S/TRANSF. CR C.CERAM ADRA;7798160584388
62-162;LAVATORIO DE PARED CR C.CERAM ADRA;7798160584395
80-166;DUCHA EMB. C/TRANSF. CR C.CERAM ADRA PLUS;7798160584418
81-166;DUCHA EMB. S/TRANSF. CR C.CERAM ADRA PLUS;7798160584425
83-058;DUCHA EXT. C/TRANSF. CR C.STD MALBA;7798160584449
60-163;LAVATORIO CR C.CERAM SENA;7798160584487
70-163;BIDE CR C.CERAM SENA;7798160584494
80-163;DUCHA EMB. C/TRANSF. CR C.CERAM SENA;7798160584500
83-057;DUCHA EXT. C/TRANSF. C.STD VERIN PLUS;7798160584586
83-059;DUCHA EXT. C/TRANSF. BL/CR C.STD MALBA;7798160584593
81-153;DUCHA EMB. S/TRANSF. C.CERAM CASTILLA;7798160584630
81-131;DUCHA EMB. S/TRANSF. C.CERAM MALLORCA;7798160584647
83-131;DUCHA EXT. C/TRANSF. C.CERAM CR MALLORCA;7798160584654
81-121;DUCHA EMB. S/TRANSF.CR C.C. MARBELLA;7798160584661
81-136;DUCHA EMB. S/TRANSF. CR C.CERAM MARBELLA PLUS;7798160584678
81-135;DUCHA EMB. S/TRANSF. C.CERAM SANTANDER;7798160584685
81-150;DUCHA EMB. S/TRANSF. C.CERAM TOLEDO;7798160584692
81-138;DUCHA EMB. S/TRANSF. C.CERAM VALENCIA PLUS;7798160584708
60-190;LAVATORIO C.CERAM BLACK VELVET;7798160584715
62-190;LAVATORIO PARED EMB. C.CERAM BLACK VELVET;7798160584722
70-190;BIDE C.CERAM BLACK VELVET;7798160584739
80-190;DUCHA EMB. C/TRANSF. C.CERAM BLACK VELVET;7798160584746
80-352;DUCHA DE EMBUTIR 3 FUNCIONES SORIA;7798160584845
60-191;LAVATORIO C.CERAM LINEA PRADO;7798160584852
70-191;BIDE C.CERAM LINEA PRADO;7798160584869
80-191;DUCHA EMB. C/TRANSF. C.CERAM PRADO;7798160584876
62-191;LAVATORIO PARED EMB. C.CERAM PRADO;7798160584883
20-190;COCINA MESADA MONOC BLACK VELVET;7798160584890
60-064;LAVATORIO CR/CR C.STD FRAGA;7798160584951
70-064;BIDE CROMO C.STD FRAGA;7798160584968
80-064;DUCHA EMB.C/TRANSF CR  C.STD FRAGA;7798160584975
20-162;MONOCOMANDO COCINA ADRA;7798160585057
61-192;LAVATORIO ALTO SORIA BLACK;7798160585095
80-192;DUCHA EMB. C/TRANSF. SORIA BLACK;7798160585118
51-122;MESADA BIMANDO CR C.CERAM VALENCIA;7798160585255
51-131;MESADA BIMANDO CR C.CERAM MALLORCA;7798160585262
20-135B;MONOCOMANDO COCINA MESADA SANTANDER WHITE;7798160585279
80-194P;DUCHA EMB. C/TRANSF. CR C.CERAM LARA PLUS;7798160585293
83-024;DUCHA EXT. C/TRANSF. CR SEVILLA PLUS;7798160585309
40-024;JGO. P/LAVARROPA CR SEVILLA PLUS;7798160585316
60-042P;LAVATORIO DIQUE GM PLUS;7798160585606
70-042P;BIDE DIQUE GM PLUS;7798160585613
80-042P;DUCHA EMB. C/TRANSF. DIQUE GM PLUS;7798160585620
81-100N;DUCHA EMB. S/TRANSF. BLACK C.CERAM FABRIC;7798160585675
85-190;DUCHA EMB C/TRANSF Y DUCHADOR CR C.CERAM BLACK VELVET;7798160585750
80-390;DUCHA DE EMB 3 FUNCIONES BLACK VELVET;7798160585767
85-153;DUCHA EMB C/TRANSF Y DUCHADOR CR C.CERAM CASTILLA;7798160585774
80-329;DUCHA DE EMB 3 FUNCIONES CASTILLA;7798160585781
80-151P;DUCHA EMB. C/TRANSF. CR C.CERAM CROWN PLUS;7798160585866
